GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Testerjunit,nu.te4.testerjunit,TestarJUnit,4,0,0,0,2,0,2,0,2,0
Testerjunit,nu.te4.testerjunit,MyMath,9,55,4,6,3,16,4,6,0,5
Testerjunit,nu.te4.testerjunit,Checker,7,32,2,4,2,8,2,4,0,3
Testerjunit,nu.te4.testerjunit,MyMath2,7,34,2,6,2,10,2,5,0,3
